original_tweeter_user_id,original_tweeter_f_count
25073877,72553190.0
1115874631,14061825.105263159
60937837,8444759.5
52544275,7608777.406926407
24705126,7271698.0
1324334436,7230094.75
1153045459,6190718.0
19329393,5949954.71875
16589206,5502647.083333333
31685653,5501484.0
711694309,5033928.0
41634520,4465709.96558163
39344374,4308048.25
56312411,4100377.6666666665
252992709,4095626.0
39743812,3417433.1933511654
15588657,3283697.0
113352671,3130011.0
50769180,3073029.0
285282053,2891707.0
16893886,2728353.0
627355202,2514788.0
67611162,2490474.0
1187330941,2376566.0
296612629,2295852.1578947366
11134252,2231398.62403698
196168350,2211436.2592592593
78523300,2191621.027777778
15976697,2184089.0
1657730988,2159264.0
44945327,2106835.0
26487169,2082554.8215223097
258283931,2079187.0
720257453221261320,1992497.6666666667
38495835,1967479.076253482
16334137,1916357.2
1244137812,1715627.5
14377605,1706229.38
13393052,1686798.0
342863309,1647030.0
17017636,1640926.0
1856414335,1639115.0
49616273,1610816.75
15416505,1541364.857142857
46220856,1493533.0
145607857,1487061.5
232901331,1449624.7544389758
1317076194,1425168.0
432895323,1388227.3125
18247062,1382250.7553956835
2908170952,1350207.85
16031927,1213011.0
14839147,1144616.4615384615
83297832,1126064.7777777778
112047805,1121891.0
371539066,1098452.0
18643437,1096618.4233576641
172057857,1072082.0
113130846,1062096.0
3066787711,1057376.0
287156977,1056807.8333333333
46696817,1026105.0
22330739,1015166.0
385926583,995866.0
18730634,963191.0
53355887,956118.0
25202268,947946.0
43074696,945714.0
20583993,928919.0
2417586104,920911.4268292683
118845216,919146.0
751400048,909627.0
139189823,895895.75
4053162792,886866.0
90628174,871460.0
56644534,842619.5
2435669940,836308.0
21829541,811767.0
96955327,808987.0
22240612,807282.8523040568
717686709983424513,796885.0
18266688,795131.1077389985
2553151,780241.0
6108862,762988.0
50944856,744907.0
108577950,740098.0
27768807,738462.0
611986351,721510.0
16989178,703600.5
735487279,683607.5
388983706,680218.3076923077
620571475,677295.0
15019391,659180.0
1583865109,657319.75
770781940341288960,656295.0
18379614,655393.0
462104542,650564.856165585
278124059,634495.0
195271137,633887.6021505377
134513525,632994.75
592730371,630155.1734820323
499073990,627283.0
17537467,616125.8192771084
24733117,607179.8064516129
138182116,604300.0
761266874696867840,597733.0
14247236,585881.0311587147
107225267,574676.0
125851115,571933.0
21536398,545845.0
358545917,544867.5483870967
27915028,538646.0
56039856,537964.6666666666
2421067430,535792.0
419298953,533703.0
486711396,532407.4807692308
17980523,526721.512315271
1274690550,524281.3793103448
574023889,504283.54545454547
17685258,500123.0
4121225056,497305.0
2353605901,485779.0
817661098988019712,468427.5421686747
4855801089,467332.5
1934388686,459145.0
850036892,455925.0
2290009928,455036.71428571426
375721095,450481.99579831935
135062529,449056.0
313038011,446904.0
4723068481,446588.0
444940567,445016.0
879161563,441946.0
246939630,436834.0
18005085,432618.0
2316383071,428422.0
75237089,427854.75
58579942,412705.0
85657578,404378.0
282695161,401429.58904109587
15976705,401106.0
1014922465,394708.5
769108935726997504,392585.0
264361128,391863.65625
95588504,391189.28571428574
41160276,389615.22807017545
438152067,388462.89463955635
765535468104585217,388384.0
146360682,384571.5
81083096,383819.8623376623
2853461537,383349.5263157895
27493883,381954.4304
166546290,377653.0
43654274,374709.0
4667591756,372261.6666666667
80330381,371742.0
858924511,368707.0
2381667174,368286.0
482203628,354275.77777777775
3306088051,352319.0
15484198,343963.2
16269666,338608.448
3092434408,333372.0
134398560,331768.0
2946753318,326847.0
484446271,325863.0
52338305,322578.5094339623
261749735,320444.71428571426
39823635,316930.0
2924521080,315982.5806451613
24338525,312077.5
22956220,310255.0
129235890,308056.98387096776
533068752,304505.6666666667
18953266,302740.0
34262462,301670.0
22509548,301579.125
713839291210792960,301530.89743589744
391901721,301000.0
334921581,300283.0
2597794454,300242.0
75742264,297958.0
506429053,297701.0
3530404094,297541.9664336107
240454812,296893.0
13396002,296251.71428571426
561335546,295608.0
23585395,294921.5
3580248555,294465.0
601535938,294349.0
129057534,293206.0
109441206,292166.6
24258355,291842.0
19346439,291705.0
1017637447,288294.5
44177383,284865.0
1236101,283389.0
1065869268,281898.0
33750798,281795.54545454547
19553409,279905.9911816578
620136960,277582.59523809527
3984632307,276965.0
2566535282,270399.0
25584888,270073.5
175806207,268437.0
2160653996,267441.0
83932539,267408.5488126649
298602588,266138.0
759421234375331840,262563.0
41446355,261930.0
14945261,260495.8
13218102,259193.0
96684891,257454.0
201487534,256660.95
954124423,256041.9375
64229716,255712.0
799047255378391040,252123.0
250386727,251492.0
54769979,250172.7142857143
2591161099,248989.0
134841238,247664.0
1216789842,247635.94607843139
71059280,247518.0
113568312,247025.8
4765364386,243637.85549988612
275276082,242257.2105649303
123661002,241537.0
34367582,239181.0465116279
71036272,238701.0
28768235,237509.0
120293182,236884.0
15212187,235921.0
4797361833,235841.0
895814938995957760,234975.83333333334
33520195,233597.0
22972842,233375.0
730088562,233027.0
2316246829,232541.54929577466
4165642155,232039.0
14895030,229937.0
3465993792,228750.0
236487888,228748.0
22677397,228354.33503836318
18089606,225169.7142857143
478855762,224221.5
481926866,223299.0
14829533,223049.0
2256965582,220716.75
2889924959,220427.0
44704537,220064.0
1344897174,219357.6851851852
19211550,216898.1379310345
16404141,216726.0
800086706678419456,216227.61111111112
221898261,215886.0
60843563,215517.0
3293406121,215393.5
939985878201618432,213914.66176470587
36052760,213771.0
18238344,212919.0
45638054,212772.0
16585184,211746.83333333334
856288002435420160,210672.0
287735479,209813.0
5360012,209232.33333333334
57870730,209230.0
177584156,208929.53333333333
59524045,208120.0
75816710,207325.0
481132718,207170.85714285713
223831644,206873.0
192547775,206868.71014492755
135251922,206665.0
459390022,205788.0
75277224,205713.33333333334
14828860,204865.09210526315
722528529716383744,204029.9005235602
40742821,203746.0
78781078,203624.0
824797212425191425,203582.0
17522884,203373.0
116579971,202472.33333333334
14335498,201430.0
67057594,200841.25
880542004899438593,199926.0
3995778614,199015.0752688172
4012161,198427.5
317385247,197991.5
244241866,197900.9642857143
951362244,197699.0
845392971381927936,197499.2380952381
86177206,197395.256
1688,196558.0
354537587,195499.41025641025
27995424,195383.0
