original_tweeter_user_id,retweet_count
4765364386,665244
232901331,525555
3530404094,447156
41634520,379328
18643437,166595
2451476942,150448
2981776113,101497
275276082,98284
462104542,82634
1121554471,70069
38495835,68656
594886554,63885
11134252,63359
800086706678419456,54688
1191935744220246016,53649
29398579,45766
375721095,41629
16589206,41243
18247062,39249
859592034,33202
22240612,30847
499230066,30789
1018425398869282817,30516
18266688,29293
839099917121511425,29075
586707638,27816
3353061012,27724
1153042794375712770,27642
1424605753,26673
78523300,25267
22677397,24889
272064857,24358
829717519,24079
1216789842,23306
1194770389634895873,21925
26028938,20874
2333707213,19715
1886468286,19659
592730371,18703
1146225861743403008,18222
186562905,17414
861186587144577025,17335
2923411356,16416
1674315427,16119
1000141948269678592,16011
52544275,15807
15416505,15742
27493883,15350
804435407400095745,15256
822901284655210497,15155
878916812,14863
19422491,14759
39344374,14727
39743812,14480
27522964,14441
1904739704,14327
187936720,14239
298633547,14085
23023227,14040
266237495,13204
856991644134068224,12774
14247236,12663
725064846056640512,12502
1225779630,12346
1392956425,12340
920006546829975553,11063
1274690550,10875
875017115979403264,10854
965259182,10612
1546656000,10418
815552224046829568,10238
83932539,10202
770781940341288960,10037
3394053112,9836
975217231,9549
2176476241,9340
2795404498,9251
17537467,8908
49023129,8772
95588504,8698
187022370,8626
1162759864939999237,8603
734168909553766405,8474
9427572,8384
1106312355267469312,8309
895286614431346688,8266
997312910748680192,8212
1023362107,8124
917501529480765441,8099
3775360879,8092
26487169,7952
1043185714437992449,7940
85498982,7925
424664120,7865
16989178,7848
631310817,7771
138889809,7673
19553409,7533
1478430702,7495
16936686,7457
899115298997055491,7398
954124423,7333
125128723,7317
83182871,7258
3192962633,7217
864934909961523200,7101
413513361,7037
2950103415,6841
4918885219,6830
16279880,6808
43596406,6722
3041775900,6525
752214001,6412
850036892,6367
1157673159128207361,6365
16585101,6320
1118205222726307842,6236
561310591,6184
3507100335,6067
17980523,6055
244351421,6000
1177221975921610753,5952
23360808,5951
923368757803847680,5941
1909921760,5913
2924521080,5814
4789453135,5697
959856286061006848,5682
29873671,5612
46934022,5566
1049162319941517312,5416
635928417,5382
162301746,5361
2256965582,5289
86177206,5215
2315583427,5074
727137760574857216,4999
3369234799,4980
903313767596822528,4970
58691526,4930
3155188814,4925
414223436,4914
56491860,4890
16269666,4799
478855762,4708
18837791,4690
1196926455990632449,4673
1344897174,4627
2369910918,4587
2417586104,4579
769739202963517440,4548
822510151642923009,4545
101779040,4512
126911579,4509
4798259061,4496
50434327,4456
940430173517811714,4318
