user_id,status,twitter_error
3301052704,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
25228648,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1215245723748331521,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
1123074233737912322,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1199419515995590657,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
42698622,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1162341712930455552,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1224560758039576577,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1207781507898757120,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
3550037417,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
2283130288,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
847617187267215360,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
923152296812277762,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
927398051882221575,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
870653814092603392,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
1085526381902155778,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
1092086942198452224,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
998591377243037700,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
3896643134,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
827801525426782208,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1202115918,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
3967662912,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
762030672,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
20000194,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
4480906040,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
3673372230,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
749417968501743616,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
1195242211882995712,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
244167856,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1223003675829981186,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
40457010,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
1229160464,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
966400798111379456,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
492660097,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1169763589311422472,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
914596062,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
1110316024023445505,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
348315925,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1023734339065073664,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
146188916,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1217980546501922816,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1064185625623101440,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
319939901,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
798678444997414912,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
132787784,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1210327063758090242,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
1188289407515803648,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
1178201186190495744,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
606687657,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
154181724,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1463188141,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
2904085171,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
831285137606328321,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
818103339091107840,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
2946059231,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
507963693,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1215637945123631105,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
29723370,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
910103132490883077,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1149479951617253376,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
1132885616754974721,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
822923751767605254,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
1101096716248510464,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
846823433933651968,Could not find user with ids,https://api.twitter.com/2/problems/resource-not-found
2855050017,User has been suspended,https://api.twitter.com/2/problems/resource-not-found
